"id","mechanism","percentage","n","moderator","method","qp_full_power","rp_full_power","coefp_full_power","qp_recovered_power","rp_recovered_power","coefp_recovered_power","MSE_full","coef_bias_full","coef_var_full","deviance_full","MSE_recovered","coef_bias_recovered","coef_var_recovered","deviance_recovered"
30,"mnar",0.1,10,"1c1c","JOMO",0.452,0.531,0.06,0.452,0.502,0.032,0.178506749436928,0.0108870551472587,0.159501679811097,6.35095117664526,0.164602862724272,0.0195053737570625,0.16687050816823,5.96485933342107
31,"mcar",0.25,10,"1c1c","JOMO",0.491,0.532,0.065,0.491,0.49,0.037,0.188412246782081,0.0128014756899166,0.167813399561649,6.5858798935961,0.160197533316551,0.0264516003090427,0.199635352163732,5.7935408578161
32,"mar",0.25,10,"1c1c","JOMO",0.47,0.565,0.077,0.47,0.507,0.023,0.173880349014727,0.00175131676810255,0.160803350089466,6.21802245043561,0.147247667852554,0.00889567829544914,0.193677387558509,5.43701753567441
33,"mnar",0.25,10,"1c1c","JOMO",0.481,0.568,0.062,0.481,0.529,0.028,0.178373998057087,-0.012399596210178,0.161230094087469,6.31158430695541,0.150007525592824,0.000400520659393628,0.185242191305807,5.49551159336067
34,"mcar",0.4,10,"1c1c","JOMO",0.474,0.539,0.053,0.474,0.525,0.02,0.182148068446595,0.00446816900897158,0.161434500717957,6.44706548229464,0.126604449995167,0.0134763491078704,0.23166182642653,4.84590844584811
35,"mar",0.4,10,"1c1c","JOMO",0.474,0.559,0.076,0.474,0.521,0.034,0.178224302457842,-0.00582156580822937,0.160042431783412,6.32095990015142,0.123174413791541,0.00124865680635696,0.2307951002788,4.7264390346679
36,"mnar",0.4,10,"1c1c","JOMO",0.463,0.54,0.064,0.463,0.518,0.028,0.183911634857642,0.00898921920093176,0.168208062788839,6.47072478984158,0.126626253581385,0.0307354560814864,0.224067861813831,4.80863430835127
37,"mcar",0.1,25,"1c1c","JOMO",0.744,0.952,0.13,0.744,0.931,0.048,0.181634165772012,0.012921065698909,0.0516587857823418,23.286714537576,0.17605263912,0.02435431849758,0.05270739896,22.703005108
38,"mar",0.1,25,"1c1c","JOMO",0.771,0.944,0.11,0.771,0.931,0.04,0.181464138798207,0.0011227962535035,0.0513712320007262,23.3473285443227,0.17589733968,0.0127182767096,0.05250271989,22.761081333
39,"mnar",0.1,25,"1c1c","JOMO",0.768,0.954,0.109,0.768,0.929,0.043,0.180029118129063,0.00167032145354911,0.0510412785961125,23.1753631500874,0.17405582163,0.014596755436884,0.05136566021,22.543215059
40,"mcar",0.25,25,"1c1c","JOMO",0.767,0.952,0.128,0.767,0.934,0.024,0.181528932233356,-0.00484155812060499,0.0514136124053008,23.3502358952745,0.16155901934,0.0330399143142,0.05602441408,21.224516236
41,"mar",0.25,25,"1c1c","JOMO",0.764,0.956,0.124,0.764,0.926,0.029,0.180775109296113,-0.0010231804090096,0.0514754393613717,23.2386361845067,0.16191121901,0.030614867971,0.05654656078,21.24280091
42,"mnar",0.25,25,"1c1c","JOMO",0.741,0.943,0.115,0.741,0.925,0.025,0.181882651205302,-0.000432590190486908,0.051547201795504,23.3818117687027,0.16151367291,0.0385895394404,0.05444419231,21.203973127
43,"mcar",0.4,25,"1c1c","JOMO",0.77,0.942,0.118,0.77,0.919,0.017,0.185084147927473,-0.00619105562089085,0.0519548537130743,23.7195941102988,0.15042536224,0.0415276485814,0.06451950692,19.979365065
44,"mar",0.4,25,"1c1c","JOMO",0.783,0.954,0.135,0.783,0.936,0.016,0.183448061893838,0.00650758680777282,0.051629538381892,23.5440840653182,0.14884582732,0.052697413688,0.06513381588,19.791083982
45,"mnar",0.4,25,"1c1c","JOMO",0.781,0.955,0.132,0.781,0.945,0.024,0.178801600538078,0.00523147727330203,0.0511789995814569,23.0736259546825,0.14542411697,0.045942298153,0.06509716711,19.419033868
46,"mcar",0.1,50,"1c1c","JOMO",0.956,1,0.21,0.956,1,0.038,0.182376939347965,-0.00234829682981194,0.0241506709143414,51.8235994149626,0.17622760894,0.0252959556549,0.02436026274,50.36268745
47,"mar",0.1,50,"1c1c","JOMO",0.937,0.999,0.21,0.937,0.999,0.033,0.181658692225936,-0.00453730579903517,0.0240506120354099,51.6822368147461,0.17550785987,0.02069060522397,0.02434907953,50.21346302
48,"mnar",0.1,50,"1c1c","JOMO",0.953,0.998,0.234,0.953,0.998,0.047,0.180350582382847,-0.00163104952151574,0.0240619131738069,51.3096720876395,0.17390393018,0.02468740199707,0.02386151504,49.78051456
49,"mcar",0.25,50,"1c1c","JOMO",0.944,0.998,0.221,0.944,0.998,0.026,0.182225399047195,-0.0045921381117474,0.0241792800982436,51.7635671306594,0.16603049709,0.0512270496691,0.02529891608,47.87958856
50,"mar",0.25,50,"1c1c","JOMO",0.946,0.999,0.225,0.946,0.998,0.028,0.182100028831045,-0.00319385421096199,0.0240841048217675,51.7491716580901,0.1657366003,0.0550520163505,0.02540390498,47.81396805
51,"mnar",0.25,50,"1c1c","JOMO",0.948,0.999,0.229,0.948,0.997,0.034,0.183064726870676,0.00293461399132469,0.0242889016721743,51.9140645377925,0.16630535368,0.0563780464258,0.02475671718,47.90154553
52,"mcar",0.4,50,"1c1c","JOMO",0.952,0.998,0.229,0.952,0.997,0.019,0.180585663763676,-0.00413438796999778,0.0241413803985142,51.3481515941949,0.15144329333,0.08041973927023,0.02769856074,44.27735029
53,"mar",0.4,50,"1c1c","JOMO",0.943,0.999,0.229,0.943,0.999,0.022,0.181202027481676,-0.000442512635519347,0.0240633183790201,51.5371704491529,0.15198404607,0.07837570455538,0.02801763221,44.43436555
