"id","mechanism","percentage","n","moderator","method","qp_full_power","rp_full_power","coefp_full_power","qp_recovered_power","rp_recovered_power","coefp_recovered_power","MSE_full","coef_bias_full","coef_var_full","deviance_full","MSE_recovered","coef_bias_recovered","coef_var_recovered","deviance_recovered"
39,"mnar",0.1,25,"1c1c","CC",0.768,0.954,0.109,0.735,0.931,0.112,0.180029118129063,0.00167032145354911,0.0510412785961125,23.1753631500874,0.180256794996271,0.00409298502836075,0.0557707194749462,20.9557186693305
40,"mcar",0.25,25,"1c1c","CC",0.767,0.952,0.128,0.677,0.866,0.103,0.181528932233356,-0.00484155812060499,0.0514136124053008,23.3502358952745,0.179682918384712,-0.00819352960284551,0.0722242119068496,16.4269158185765
41,"mar",0.25,25,"1c1c","CC",0.764,0.956,0.124,0.663,0.854,0.098,0.180775109296113,-0.0010231804090096,0.0514754393613717,23.2386361845067,0.179583086221046,-0.00519216670492127,0.0715764846355546,16.4097830483096
42,"mnar",0.25,25,"1c1c","CC",0.741,0.943,0.115,0.642,0.848,0.096,0.181882651205302,-0.000432590190486908,0.051547201795504,23.3818117687027,0.180773820770354,-0.0045366934152168,0.0706652347961094,16.5091891270126
43,"mcar",0.4,25,"1c1c","CC",0.77,0.942,0.118,0.588,0.761,0.089,0.185084147927473,-0.00619105562089085,0.0519548537130743,23.7195941102988,0.185112346525332,-0.00901463081315081,0.101517235624351,12.2260119329747
44,"mar",0.4,25,"1c1c","CC",0.783,0.954,0.135,0.532,0.723,0.09,0.183448061893838,0.00650758680777282,0.051629538381892,23.5440840653182,0.178817003401498,-0.00340743428081672,0.0977210933836975,11.9065014050815
45,"mnar",0.4,25,"1c1c","CC",0.781,0.955,0.132,0.605,0.77,0.079,0.178801600538078,0.00523147727330203,0.0511789995814569,23.0736259546825,0.17982296365982,0.0182877206291129,0.102004532548984,11.949519993235
46,"mcar",0.1,50,"1c1c","CC",0.956,1,0.21,0.932,0.998,0.189,0.182376939347965,-0.00234829682981194,0.0241506709143414,51.8235994149626,0.181930820935966,-0.00446147913551352,0.0271460587271755,46.0452339918365
47,"mar",0.1,50,"1c1c","CC",0.937,0.999,0.21,0.909,0.998,0.207,0.181658692225936,-0.00453730579903517,0.0240506120354099,51.6822368147461,0.180907821870835,-0.00461005706724709,0.0269266957461018,45.8552036007303
48,"mnar",0.1,50,"1c1c","CC",0.953,0.998,0.234,0.935,0.995,0.22,0.180350582382847,-0.00163104952151574,0.0240619131738069,51.3096720876395,0.180688885323702,-0.00156393955103007,0.0266386822710916,45.7871871730799
49,"mcar",0.25,50,"1c1c","CC",0.944,0.998,0.221,0.885,0.993,0.157,0.182225399047195,-0.0045921381117474,0.0241792800982436,51.7635671306594,0.182427614132797,-0.00756073125054578,0.0329459278915608,38.1356310437038
50,"mar",0.25,50,"1c1c","CC",0.946,0.999,0.225,0.877,0.993,0.156,0.182100028831045,-0.00319385421096199,0.0240841048217675,51.7491716580901,0.180585566071281,-0.00790640839173443,0.0323130594277421,37.9006277430323
51,"mnar",0.25,50,"1c1c","CC",0.948,0.999,0.229,0.887,0.995,0.182,0.183064726870676,0.00293461399132469,0.0242889016721743,51.9140645377925,0.183494266014221,0.00144765887587569,0.0324163850337886,38.2948572544693
52,"mcar",0.4,50,"1c1c","CC",0.952,0.998,0.229,0.822,0.976,0.122,0.180585663763676,-0.00413438796999778,0.0241413803985142,51.3481515941949,0.18222768437917,-0.00829721106363779,0.0433249354574716,29.0767541124457
53,"mar",0.4,50,"1c1c","CC",0.943,0.999,0.229,0.742,0.968,0.123,0.181202027481676,-0.000442512635519347,0.0240633183790201,51.5371704491529,0.175690634601813,-0.00219978243937175,0.0418545614975581,28.2504892827918
54,"mnar",0.4,50,"1c1c","CC",0.947,0.997,0.246,0.811,0.979,0.163,0.180887368810292,0.00254912524291258,0.024086797853804,51.4437564629634,0.1810199494996,0.00351147849729175,0.0435454521359042,28.9239963460933
55,"mcar",0.1,10,"2c","CC",0.082,0.071,0.06,0.074,0.078,0.065,0.1874041655502,0.0176339985056898,0.195244256477019,5.46493226134141,0.183694021323112,0.0254492909936624,0.24082407281643,4.28223760453846
56,"mar",0.1,10,"2c","CC",0.089,0.072,0.081,0.086,0.068,0.08,0.184099437584723,-0.002999090248962,0.194569756553413,5.4099230072949,0.180723631185396,0.000722926032903182,0.234784103597585,4.23543404649382
57,"mnar",0.1,10,"2c","CC",0.09,0.079,0.062,0.085,0.069,0.053,0.183372979179876,0.0154524654789478,0.197337426478338,5.35990440552806,0.183536839091483,0.013065682608899,0.238984047519166,4.25454344076976
58,"mcar",0.25,10,"2c","CC",0.083,0.089,0.07,0.083,0.064,0.057,0.181839174999487,0.00635228262409814,0.193880674713964,5.38138763815467,0.182213851389517,0.00259971764948421,0.304770854569829,3.17782782330068
59,"mar",0.25,10,"2c","CC",0.073,0.082,0.06,0.06,0.069,0.051,0.176459310880443,-0.0110270960028307,0.191944256470812,5.21417146516066,0.169030972270017,-0.0247307376177838,0.287759667127287,2.9991555597218
60,"mnar",0.25,10,"2c","CC",0.082,0.072,0.07,0.086,0.064,0.063,0.182017463433115,0.0156818379572187,0.198970999843921,5.3508415737482,0.178810908609887,0.0180416807973797,0.303496082018074,3.13441730778591
61,"mcar",0.4,10,"2c","CC",0.085,0.071,0.069,0.076,0.051,0.053,0.182497642512788,0.0100090583865685,0.195600119793506,5.35972548082002,0.186438697926851,0.00145337271033624,0.509725183972697,1.31893370433755
62,"mar",0.4,10,"2c","CC",0.086,0.077,0.067,0.071,0.054,0.054,0.180384858617518,0.0272513053819158,0.19624144635898,5.32443199740909,0.172968104234667,0.014498802377098,0.473520078421953,1.24822769129556
63,"mnar",0.4,10,"2c","CC",0.094,0.09,0.077,0.088,0.057,0.058,0.181830264984492,0.0115458765117615,0.193743389164962,5.32077783390433,0.196090702932086,-0.0216092633337524,0.499492868625912,1.30117337415469
64,"mcar",0.1,25,"2c","CC",0.113,0.175,0.125,0.095,0.165,0.125,0.180657194333641,-0.00225466430558318,0.0542186825801893,22.1071277200249,0.180267754644764,-0.00310733810770531,0.0601147838889509,19.8260665073343
65,"mar",0.1,25,"2c","CC",0.114,0.166,0.122,0.114,0.164,0.109,0.179675329420527,0.00528649853663421,0.0543584055978739,21.9945987375933,0.180600782185896,0.00442022341150603,0.0602367704946806,19.8337052284176
66,"mnar",0.1,25,"2c","CC",0.103,0.176,0.123,0.108,0.159,0.108,0.182429549227878,0.0075648933652392,0.0544435110418316,22.277982226142,0.183023801842211,0.00423330104900575,0.0599771366895887,20.0599388914242
67,"mcar",0.25,25,"2c","CC",0.105,0.164,0.122,0.096,0.114,0.098,0.182674984321205,0.00428888306731725,0.0546950113581689,22.3195288024257,0.181976634924409,0.00356458144485523,0.0786195352876373,15.4802026206541
68,"mar",0.25,25,"2c","CC",0.104,0.162,0.104,0.102,0.108,0.079,0.183437404812832,-0.000649013903125013,0.0543572855516351,22.4182808355275,0.182511077696741,-0.00387927211202403,0.0780818411582684,15.5109215818434
69,"mnar",0.25,25,"2c","CC",0.112,0.163,0.131,0.106,0.122,0.098,0.184636289276393,0.00283743980322482,0.0546192696352113,22.504427307737,0.186052573450505,0.00475745429451923,0.0777947089210967,15.7224001757223
70,"mcar",0.4,25,"2c","CC",0.11,0.167,0.117,0.098,0.103,0.082,0.180276287582899,0.00920472363444767,0.0544148430424957,22.0659875992246,0.179542509220877,0.00218218002870849,0.110835692026545,10.84557096771
71,"mar",0.4,25,"2c","CC",0.088,0.154,0.113,0.047,0.067,0.066,0.178634268727924,-0.00505423463615701,0.0538432480929479,21.9302661953892,0.168975912413535,-0.020367612072858,0.106893032697999,10.3419318308955
72,"mnar",0.4,25,"2c","CC",0.108,0.15,0.11,0.101,0.095,0.069,0.181035702420204,9.02884008502811e-05,0.0545164251475813,22.1448921909295,0.179383365659948,-0.00222681406960581,0.113468759767591,10.8019311687199
73,"mcar",0.1,50,"2c","CC",0.135,0.353,0.227,0.118,0.308,0.203,0.182320821810044,-0.000382507807917171,0.0247137257989963,50.6734178718917,0.182606232302048,-0.00211987192644251,0.0278400201710632,45.0710840654858
74,"mar",0.1,50,"2c","CC",0.144,0.332,0.227,0.128,0.311,0.213,0.18083288108829,0.00789140149916747,0.0247018151591011,50.2634384500342,0.180831184813083,0.00666328679507852,0.0277232117897218,44.6478067054299
75,"mnar",0.1,50,"2c","CC",0.12,0.347,0.219,0.125,0.309,0.21,0.18014369871638,-0.00246085409765058,0.0246226986857639,50.161951236314,0.180208235833852,-0.00123719890380439,0.0273779673552994,44.5507376249411
76,"mcar",0.25,50,"2c","CC",0.15,0.344,0.237,0.127,0.238,0.169,0.182272296787647,0.00347168558954876,0.0247839950947779,50.6214613004992,0.182867721047222,0.00301354650124605,0.034138987880979,37.112496621249
77,"mar",0.25,50,"2c","CC",0.133,0.352,0.242,0.115,0.237,0.178,0.183418886689851,0.00222471695865897,0.0248714942711523,50.8820403619643,0.182219737332385,-0.00253030599692171,0.0337275075439448,36.9965473171677
78,"mnar",0.25,50,"2c","CC",0.121,0.329,0.213,0.099,0.253,0.162,0.179839379163752,-0.0094879583641095,0.0246004381374492,50.0726312665408,0.178829539288241,-0.0114259004132093,0.0329462993397011,36.4530214974858
79,"mcar",0.4,50,"2c","CC",0.131,0.347,0.246,0.115,0.194,0.14,0.179826303766623,0.00305362414043341,0.0245883561099496,50.0620342074279,0.180131660483368,0.00529726343613009,0.0447246058805835,27.6612072487054
80,"mar",0.4,50,"2c","CC",0.106,0.34,0.228,0.076,0.135,0.12,0.179933306341436,-0.0011658898951439,0.0244926299364895,50.1380244587764,0.171195616859733,-0.0153738403122198,0.0431973410985921,26.5595724571741
81,"mnar",0.4,50,"2c","CC",0.139,0.303,0.213,0.099,0.184,0.146,0.182758721940755,-0.00560778895232139,0.024933220984238,50.7006263702996,0.181212483600862,-0.00494059495916333,0.0455186223733278,27.790583736161
1,"mcar",0.1,10,"1c","MLR",0.05,0.054,0.054,0.05,0.078,0.078,0.174934726048356,-0.0135504919045421,0.110123915629077,7.32963285081302,0.18290842077,-0.089473952578376,0.11909730161,7.575283666
2,"mar",0.1,10,"1c","MLR",0.061,0.067,0.067,0.061,0.101,0.101,0.177960084687193,-0.00102782703297601,0.110746586910467,7.42228905273715,0.18806222992,-0.0908317549656,0.11917436661,7.737870864
3,"mnar",0.1,10,"1c","MLR",0.071,0.054,0.054,0.071,0.1,0.1,0.187321054861263,0.000741645888988108,0.113115631260169,7.72419951986869,0.19330938048,-0.0825882263113,0.11853844632,7.889825288
4,"mcar",0.25,10,"1c","MLR",0.077,0.068,0.068,0.077,0.143,0.143,0.181428965314356,0.00578637530596477,0.111266785484373,7.53691912010245,0.19479612628,-0.0867219783104,0.13091459137,7.928353519
5,"mar",0.25,10,"1c","MLR",0.052,0.06,0.06,0.052,0.139,0.139,0.179277107735362,-4.21741776373963e-05,0.111532735432173,7.46859603225597,0.186942201212,-0.0979166455234,0.12573787567,7.732816991
6,"mnar",0.25,10,"1c","MLR",0.062,0.079,0.079,0.062,0.15,0.15,0.179861059378969,0.00427631762902684,0.110976164703242,7.49625656115542,0.18995682259,-0.08810250997466,0.11988354644,7.82031834
7,"mcar",0.4,10,"1c","MLR",0.068,0.059,0.059,0.068,0.261,0.261,0.179823799438644,0.000304528866223228,0.111484952660732,7.49218578693804,0.19029517102,-0.0921031700767,0.13561247875,7.859311516
8,"mar",0.4,10,"1c","MLR",0.064,0.055,0.055,0.064,0.259,0.259,0.182626867812373,-0.000450655707441848,0.111813193479532,7.57492266966117,0.19129450494,-0.0890909061708,0.13850916591,7.865135438
9,"mnar",0.4,10,"1c","MLR",0.066,0.057,0.057,0.066,0.267,0.267,0.184440607113925,0.000680714011379597,0.112909675950791,7.61945593293275,0.19366920078,-0.08920474496069,0.1289687438,7.922442137
10,"mcar",0.1,25,"1c","MLR",0.071,0.114,0.114,0.071,0.176,0.176,0.181635143546178,-0.00182561090392003,0.0406528688855004,24.4831393016174,0.19040300436,-0.0955966863148,0.04261009192,25.410202909
11,"mar",0.1,25,"1c","MLR",0.072,0.137,0.137,0.072,0.211,0.211,0.180173665130477,-4.29339042033993e-05,0.0405620845154427,24.3327877425539,0.19050496562,-0.08942099432653,0.04268136333,25.40546606
12,"mnar",0.1,25,"1c","MLR",0.078,0.128,0.128,0.078,0.193,0.193,0.18151334580008,-0.00134699439979018,0.0408187368166028,24.4514585645906,0.19071172635,-0.0854182487172,0.04178349125,25.423793828
13,"mcar",0.25,25,"1c","MLR",0.073,0.154,0.154,0.073,0.405,0.405,0.182128960736921,0.00513512625955996,0.0405842076484813,24.5615291685552,0.19378531991,-0.0869254642276,0.04413761491,25.78831974
14,"mar",0.25,25,"1c","MLR",0.077,0.127,0.127,0.077,0.361,0.361,0.183228758185798,0.0004110326430692,0.0408467925811713,24.6576828613644,0.1927491323,-0.0842865649964,0.04423517588,25.67081184
15,"mnar",0.25,25,"1c","MLR",0.066,0.116,0.116,0.066,0.382,0.382,0.180278110387818,-0.00173498122949541,0.0405507993650939,24.3472215481734,0.1904038362,-0.0911298035548,0.0417871056,25.39438609
16,"mcar",0.4,25,"1c","MLR",0.062,0.141,0.141,0.062,0.614,0.614,0.181777848266068,0.00120477222677655,0.0406053981630403,24.5219734415122,0.19346825814,-0.0868658230868,0.04542316458,25.784962603
17,"mar",0.4,25,"1c","MLR",0.074,0.133,0.133,0.074,0.624,0.624,0.18171091159591,0.000527105281882038,0.0409090631985416,24.460353070391,0.19224483138,-0.0954252667726,0.04607441382,25.610103705
18,"mnar",0.4,25,"1c","MLR",0.074,0.121,0.121,0.074,0.574,0.574,0.183270470646025,-0.00144763401149817,0.0409404417836334,24.654625230184,0.19314417146,-0.0899695252899,0.04309594565,25.724918412
19,"mcar",0.1,50,"1c","MLR",0.078,0.237,0.237,0.078,0.405,0.405,0.180867185395657,-0.00105613202664678,0.0195635812625269,52.6006896409989,0.19013646868,-0.08821794114749,0.02041336421,54.77033215
20,"mar",0.1,50,"1c","MLR",0.105,0.224,0.224,0.105,0.406,0.406,0.184172392661217,-0.000827798120161013,0.0197955521326577,53.3478043336373,0.19318530141,-0.0911707519681,0.02062478688,55.43425321
21,"mnar",0.1,50,"1c","MLR",0.07,0.234,0.234,0.07,0.418,0.418,0.178388310754365,-0.00236815099012867,0.0194939607780483,51.9662552253269,0.18733977128,-0.0910667205562,0.01978443179,54.06153858
22,"mcar",0.25,50,"1c","MLR",0.076,0.264,0.264,0.076,0.707,0.707,0.179862068401404,0.00211131891704904,0.0195482280164304,52.3495110131134,0.19013189226,-0.0891407433665,0.02073694653,54.78780847
23,"mar",0.25,50,"1c","MLR",0.065,0.25,0.25,0.065,0.693,0.693,0.180145119711285,0.00164306502884034,0.0194943345217202,52.4453570684493,0.19052145536,-0.08889326658143,0.02068901176,54.89915548
24,"mnar",0.25,50,"1c","MLR",0.082,0.239,0.239,0.082,0.679,0.679,0.180985592313766,0.000596499606790613,0.0196101036740163,52.60623798914,0.19076334426,-0.08690381242977,0.01978709018,54.91008466
25,"mcar",0.4,50,"1c","MLR",0.085,0.224,0.224,0.085,0.865,0.865,0.181618580367699,-0.000516879911038362,0.0196670100769177,52.7353620066656,0.19093669639,-0.09224464701695,0.02128344548,54.9291305
26,"mar",0.4,50,"1c","MLR",0.09,0.228,0.228,0.09,0.893,0.893,0.181007377762345,-0.00436417531006138,0.0196086196050915,52.6104577176758,0.1901597768,-0.08986986006827,0.02130446819,54.76757236
27,"mnar",0.4,50,"1c","MLR",0.079,0.221,0.221,0.079,0.753,0.753,0.182325222424592,-0.00198775651492991,0.0197351303688024,52.9158565892049,0.19145188246,-0.08631221311212,0.01988058535,55.06412534
28,"mcar",0.1,10,"1c1c","MLR",0.489,0.543,0.058,0.489,0.587,0.088,0.187121142915568,-0.0056743382806292,0.166575012818612,6.59184813157194,0.1950446266,-0.1954423919405,0.1794671181,6.805703346
29,"mar",0.1,10,"1c1c","MLR",0.462,0.559,0.054,0.462,0.592,0.084,0.177350578841584,-0.0132738790080592,0.161739138714657,6.32319767395665,0.18765244591,-0.211859001082867,0.175782327,6.576099155
30,"mnar",0.1,10,"1c1c","MLR",0.452,0.531,0.06,0.452,0.567,0.089,0.178506749436928,0.0108870551472587,0.159501679811097,6.35095117664526,0.18612365933,-0.223302280071,0.1725789244,6.521096604
31,"mcar",0.25,10,"1c1c","MLR",0.491,0.532,0.065,0.491,0.62,0.145,0.188412246782081,0.0128014756899166,0.167813399561649,6.5858798935961,0.20069057873,-0.197440328249,0.1965142232,6.869188355
32,"mar",0.25,10,"1c1c","MLR",0.47,0.565,0.077,0.47,0.642,0.133,0.173880349014727,0.00175131676810255,0.160803350089466,6.21802245043561,0.19010400971,-0.210385295461,0.1895052091,6.639246383
33,"mnar",0.25,10,"1c1c","MLR",0.481,0.568,0.062,0.481,0.648,0.136,0.178373998057087,-0.012399596210178,0.161230094087469,6.31158430695541,0.19023929728,-0.1845193851661,0.1838853608,6.639207255
34,"mcar",0.4,10,"1c1c","MLR",0.474,0.539,0.053,0.474,0.704,0.209,0.182148068446595,0.00446816900897158,0.161434500717957,6.44706548229464,0.19234983672,-0.19690235347951,0.2097657848,6.732347343
35,"mar",0.4,10,"1c1c","MLR",0.474,0.559,0.076,0.474,0.706,0.215,0.178224302457842,-0.00582156580822937,0.160042431783412,6.32095990015142,0.19060827039,-0.1972246870024,0.2154582717,6.686888523
36,"mnar",0.4,10,"1c1c","MLR",0.463,0.54,0.064,0.463,0.7,0.216,0.183911634857642,0.00898921920093176,0.168208062788839,6.47072478984158,0.19208541367,-0.2097788342797,0.2030922441,6.715522604
37,"mcar",0.1,25,"1c1c","MLR",0.744,0.952,0.13,0.744,0.96,0.176,0.181634165772012,0.012921065698909,0.0516587857823418,23.286714537576,0.19136025741,-0.210646513927,0.05367789801,24.290601321
38,"mar",0.1,25,"1c1c","MLR",0.771,0.944,0.11,0.771,0.953,0.164,0.181464138798207,0.0011227962535035,0.0513712320007262,23.3473285443227,0.18937180555,-0.1912813845612,0.05343858241,24.150962343
39,"mnar",0.1,25,"1c1c","MLR",0.768,0.954,0.109,0.768,0.96,0.184,0.180029118129063,0.00167032145354911,0.0510412785961125,23.1753631500874,0.1897104988,-0.19823237929938,0.05273307387,24.1556057
40,"mcar",0.25,25,"1c1c","MLR",0.767,0.952,0.128,0.767,0.971,0.349,0.181528932233356,-0.00484155812060499,0.0514136124053008,23.3502358952745,0.19081483231,-0.2056598547143,0.05488401402,24.338885592
41,"mar",0.25,25,"1c1c","MLR",0.764,0.956,0.124,0.764,0.977,0.324,0.180775109296113,-0.0010231804090096,0.0514754393613717,23.2386361845067,0.19070985333,-0.20168437945676,0.05530252657,24.278452224
42,"mnar",0.25,25,"1c1c","MLR",0.741,0.943,0.115,0.741,0.969,0.341,0.181882651205302,-0.000432590190486908,0.051547201795504,23.3818117687027,0.19127751286,-0.1965240986334,0.0541045987,24.342343627
43,"mcar",0.4,25,"1c1c","MLR",0.77,0.942,0.118,0.77,0.985,0.527,0.185084147927473,-0.00619105562089085,0.0519548537130743,23.7195941102988,0.19555943817,-0.1948385854411,0.05893458149,24.796287414
44,"mar",0.4,25,"1c1c","MLR",0.783,0.954,0.135,0.783,0.981,0.521,0.183448061893838,0.00650758680777282,0.051629538381892,23.5440840653182,0.19613601342,-0.1907351079495,0.05974596141,24.83538576
45,"mnar",0.4,25,"1c1c","MLR",0.781,0.955,0.132,0.781,0.982,0.498,0.178801600538078,0.00523147727330203,0.0511789995814569,23.0736259546825,0.19001280673,-0.2025452198334,0.05956831831,24.210388738
46,"mcar",0.1,50,"1c1c","MLR",0.956,1,0.21,0.956,1,0.377,0.182376939347965,-0.00234829682981194,0.0241506709143414,51.8235994149626,0.19148585388,-0.1994941080635,0.02501141825,53.89838973
47,"mar",0.1,50,"1c1c","MLR",0.937,0.999,0.21,0.937,1,0.367,0.181658692225936,-0.00453730579903517,0.0240506120354099,51.6822368147461,0.18997476643,-0.1991674639506,0.02492721846,53.56017539
48,"mnar",0.1,50,"1c1c","MLR",0.953,0.998,0.234,0.953,0.999,0.393,0.180350582382847,-0.00163104952151574,0.0240619131738069,51.3096720876395,0.1892155433,-0.19425297423634,0.02452501282,53.35750068
49,"mcar",0.25,50,"1c1c","MLR",0.944,0.998,0.221,0.944,0.998,0.608,0.182225399047195,-0.0045921381117474,0.0241792800982436,51.7635671306594,0.19170388892,-0.2053092720181,0.02546877083,53.93533423
50,"mar",0.25,50,"1c1c","MLR",0.946,0.999,0.225,0.946,1,0.611,0.182100028831045,-0.00319385421096199,0.0240841048217675,51.7491716580901,0.19120857962,-0.202135180963,0.02536751019,53.84537417
51,"mnar",0.25,50,"1c1c","MLR",0.948,0.999,0.229,0.948,1,0.623,0.183064726870676,0.00293461399132469,0.0242889016721743,51.9140645377925,0.19282178667,-0.1969683698776,0.02494676753,54.15730675
52,"mcar",0.4,50,"1c1c","MLR",0.952,0.998,0.229,0.952,1,0.777,0.180585663763676,-0.00413438796999778,0.0241413803985142,51.3481515941949,0.18991103366,-0.2008024248664,0.02592428761,53.50265946
53,"mar",0.4,50,"1c1c","MLR",0.943,0.999,0.229,0.943,1,0.774,0.181202027481676,-0.000442512635519347,0.0240633183790201,51.5371704491529,0.19070520523,-0.1973607603087,0.02588977147,53.7292621
54,"mnar",0.4,50,"1c1c","MLR",0.947,0.997,0.246,0.947,1,0.716,0.180887368810292,0.00254912524291258,0.024086797853804,51.4437564629634,0.19115210041,-0.19738717180436,0.02612137301,53.81707874
55,"mcar",0.1,10,"2c","MLR",0.082,0.071,0.06,0.082,0.095,0.086,0.1874041655502,0.0176339985056898,0.195244256477019,5.46493226134141,0.194242331375,-0.1973153110664,0.2110470403,5.6054854726
56,"mar",0.1,10,"2c","MLR",0.089,0.072,0.081,0.089,0.089,0.097,0.184099437584723,-0.002999090248962,0.194569756553413,5.4099230072949,0.197788225238,-0.1979885283328,0.2188433577,5.671386196
57,"mnar",0.1,10,"2c","MLR",0.09,0.079,0.062,0.09,0.104,0.096,0.183372979179876,0.0154524654789478,0.197337426478338,5.35990440552806,0.191423001641,-0.19838117633287,0.2125224619,5.5244340283
58,"mcar",0.25,10,"2c","MLR",0.083,0.089,0.07,0.083,0.128,0.134,0.181839174999487,0.00635228262409814,0.193880674713964,5.38138763815467,0.193119246271,-0.2159925502406,0.2276227541,5.5623118642
59,"mar",0.25,10,"2c","MLR",0.073,0.082,0.06,0.073,0.121,0.112,0.176459310880443,-0.0110270960028307,0.191944256470812,5.21417146516066,0.18421849502,-0.2040330373097,0.2220322548,5.369787053
60,"mnar",0.25,10,"2c","MLR",0.082,0.072,0.07,0.082,0.114,0.125,0.182017463433115,0.0156818379572187,0.198970999843921,5.3508415737482,0.19507950281,-0.2059340339271,0.2207785932,5.6233710566
61,"mcar",0.4,10,"2c","MLR",0.085,0.071,0.069,0.085,0.154,0.172,0.182497642512788,0.0100090583865685,0.195600119793506,5.35972548082002,0.19518579052,-0.210896566999,0.2549454671,5.616673818
62,"mar",0.4,10,"2c","MLR",0.086,0.077,0.067,0.086,0.164,0.189,0.180384858617518,0.0272513053819158,0.19624144635898,5.32443199740909,0.20070241387,-0.2032267401905,0.2587412319,5.7566249734
63,"mnar",0.4,10,"2c","MLR",0.094,0.09,0.077,0.094,0.174,0.192,0.181830264984492,0.0115458765117615,0.193743389164962,5.32077783390433,0.19711860089,-0.2059969342446,0.2478469824,5.6450296077
64,"mcar",0.1,25,"2c","MLR",0.113,0.175,0.125,0.113,0.207,0.172,0.180657194333641,-0.00225466430558318,0.0542186825801893,22.1071277200249,0.19078601397,-0.1920703814648,0.05707093829,23.078488801
65,"mar",0.1,25,"2c","MLR",0.114,0.166,0.122,0.114,0.203,0.169,0.179675329420527,0.00528649853663421,0.0543584055978739,21.9945987375933,0.18903057793,-0.2007305887797,0.05662450196,22.883780236
66,"mnar",0.1,25,"2c","MLR",0.103,0.176,0.123,0.103,0.217,0.171,0.182429549227878,0.0075648933652392,0.0544435110418316,22.277982226142,0.19290301952,-0.199890719929,0.05637236661,23.276221767
67,"mcar",0.25,25,"2c","MLR",0.105,0.164,0.122,0.105,0.317,0.307,0.182674984321205,0.00428888306731725,0.0546950113581689,22.3195288024257,0.19321264246,-0.1883945567994,0.0587697626,23.325086847
68,"mar",0.25,25,"2c","MLR",0.104,0.162,0.104,0.104,0.328,0.295,0.183437404812832,-0.000649013903125013,0.0543572855516351,22.4182808355275,0.19290762989,-0.201454025621,0.05841358473,23.33532138
69,"mnar",0.25,25,"2c","MLR",0.112,0.163,0.131,0.112,0.351,0.345,0.184636289276393,0.00283743980322482,0.0546192696352113,22.504427307737,0.19496722495,-0.2026352944229,0.05771964391,23.493034408
70,"mcar",0.4,25,"2c","MLR",0.11,0.167,0.117,0.11,0.487,0.511,0.180276287582899,0.00920472363444767,0.0544148430424957,22.0659875992246,0.1917919783,-0.19644805988207,0.06180383438,23.168059747
71,"mar",0.4,25,"2c","MLR",0.088,0.154,0.113,0.088,0.457,0.484,0.178634268727924,-0.00505423463615701,0.0538432480929479,21.9302661953892,0.18867874791,-0.2072456687263,0.06155532808,22.898351718
72,"mnar",0.4,25,"2c","MLR",0.108,0.15,0.11,0.108,0.452,0.484,0.181035702420204,9.02884008502811e-05,0.0545164251475813,22.1448921909295,0.19074171348,-0.207546451482,0.06214823946,23.099244936
73,"mcar",0.1,50,"2c","MLR",0.135,0.353,0.227,0.135,0.446,0.373,0.182320821810044,-0.000382507807917171,0.0247137257989963,50.6734178718917,0.19137286049,-0.2041141499542,0.02566440889,52.6760816
74,"mar",0.1,50,"2c","MLR",0.144,0.332,0.227,0.144,0.452,0.36,0.18083288108829,0.00789140149916747,0.0247018151591011,50.2634384500342,0.19056845393,-0.2051177057528,0.02568204768,52.43916119
75,"mnar",0.1,50,"2c","MLR",0.12,0.347,0.219,0.12,0.447,0.377,0.18014369871638,-0.00246085409765058,0.0246226986857639,50.161951236314,0.18892044276,-0.1970626945244,0.02503465796,52.15035516
76,"mcar",0.25,50,"2c","MLR",0.15,0.344,0.237,0.15,0.604,0.54,0.182272296787647,0.00347168558954876,0.0247839950947779,50.6214613004992,0.1919595518,-0.2015333697848,0.02606671804,52.78554565
77,"mar",0.25,50,"2c","MLR",0.133,0.352,0.242,0.133,0.614,0.565,0.183418886689851,0.00222471695865897,0.0248714942711523,50.8820403619643,0.19335514928,-0.1957684732675,0.02618814974,53.09078776
78,"mnar",0.25,50,"2c","MLR",0.121,0.329,0.213,0.121,0.59,0.521,0.179839379163752,-0.0094879583641095,0.0246004381374492,50.0726312665408,0.18835346654,-0.1916472348168,0.02518072576,52.00933635
79,"mcar",0.4,50,"2c","MLR",0.131,0.347,0.246,0.131,0.713,0.708,0.179826303766623,0.00305362414043341,0.0245883561099496,50.0620342074279,0.19045154769,-0.1912849340545,0.02666659113,52.42498133
80,"mar",0.4,50,"2c","MLR",0.106,0.34,0.228,0.106,0.743,0.729,0.179933306341436,-0.0011658898951439,0.0244926299364895,50.1380244587764,0.19018910692,-0.2044778051777,0.0265352223,52.43124555
81,"mnar",0.4,50,"2c","MLR",0.139,0.303,0.213,0.139,0.694,0.682,0.182758721940755,-0.00560778895232139,0.024933220984238,50.7006263702996,0.1917431788,-0.2051242459442,0.02672027778,52.69692265
1,"mcar",0.1,10,"1c","MICE",0.05,0.054,0.054,0.05,0.078,0.078,0.174934726048356,-0.0135504919045421,0.110123915629077,7.32963285081302,0.16430109451,-0.0148204482636,0.11412111903,6.969340688
2,"mar",0.1,10,"1c","MICE",0.061,0.067,0.067,0.061,0.088,0.088,0.177960084687193,-0.00102782703297601,0.110746586910467,7.42228905273715,0.16821690346,-0.0073641342589,0.11396667681,7.093120731
